SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 1,"1100069","515140",26.30981818000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86191884760,9.94865662262
CIPRESES DE OREAMUNO,NACIENTE EDWIN COTO,"1093541","517005",25.69222222000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.84493730790,9.88962383465
SANTA ROSA DE OREAMUNO,NACIENTE AGUA FRÍA,"1098599","518299",34.37142857000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.83311467860,9.93535196465
"CIPRESES, ORATORIO Y CAPIRA DE OREAMUNO",NACIENTE PLANTÓN,"1095223","519127",27.64179487000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.82557955970,9.90482279189
COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 2,"1099010","515157",27.38824176000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86176782680,9.93908122396
COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 1,"1099015","515171",27.28401130000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86164012780,9.93912638056
SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE BENJAMIN HULET,"1100057","517042",25.17034483000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84457215370,9.94854051018
SANTA ROSA DE OREAMUNO: SECT.NACTES BIRRIS Y CARLOS MARTÍNEZ,NACIENTE CARLOS MARTÍNEZ,"1099863","516705",17.26761905000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84764649390,9.94678780388
POTRERO CERRADO DE OREAMUNO,Naciente los Quemados,"1100068","515819",17.96947368000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.85572618960,9.94864496723
POTRERO CERRADO DE OREAMUNO,NACIENTE POZO AMARILLO,"1101278","516681",9.11083333300,Santa Rosa,Oreamuno,Cartago,1.00000000000,"307",-83.84785945610,9.95958212689
SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE MIGUEL BRENES,"1100502","516854",11.96000000000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84628488100,9.95256492781
